Mr_ksi,H_AC_in,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
12.076923076923077,6.6923076923076925,225.97995817070728,447.8399475852927,1078322.2448526674,1342937.3113176085,22479.570306312493,fatigue
12.076923076923077,6.923076923076923,217.48872071763523,429.42728082452436,1223174.38251435,1620637.0877054022,26150.246104837133,fatigue
12.076923076923077,7.153846153846154,209.39255593370572,412.13389256080336,1385827.737058069,1948076.6624698427,30376.716461995733,fatigue
12.076923076923077,7.384615384615385,201.67292782075677,395.87318996840474,1568185.4556936328,2332781.3436657744,35234.380023543534,fatigue
12.076923076923077,7.615384615384616,194.31181081612243,380.56628743269283,1772318.7007821742,2783211.034429156,40807.492755774765,fatigue
12.076923076923077,7.846153846153847,187.29177384430335,366.1412541684248,2000477.3238216562,3308853.803478449,47190.01198199842,fatigue
12.076923076923077,8.076923076923077,180.59602910453853,352.53243607190177,2255101.053848686,3920327.607859225,54486.50329725563,fatigue
12.076923076923077,8.307692307692308,174.20845731942563,339.67984683082494,2538831.229842558,4629490.976002939,62813.11430168268,fatigue
12.076923076923077,8.538461538461538,168.11361725829767,327.52862256778513,2854523.111710331,5449563.529844394,72298.61946358038,fatigue
12.076923076923077,8.76923076923077,162.29674474043654,316.02853404498484,3205258.808628396,6395257.290865873,83085.54080713895,fatigue
12.076923076923077,9.0,156.74374458604038,305.13355053865286,3594360.866878315,7482919.7756913565,95331.34951137607,fatigue
12.076923076923077,9.23076923076923,151.44117782823918,294.80144978040624,4025406.561821292,8730689.941844678,109209.75390043181,fatigue
12.076923076923077,9.461538461538462,146.37624573391062,284.99346877295534,4502242.940306797,10158668.09353857,124912.07969530094,fatigue
12.076923076923077,9.692307692307693,141.53677167500246,275.6739907585612,5029002.660632207,11789100.90119638,142648.74877824428,fatigue
12.076923076923077,9.923076923076923,136.9111815587577,266.8102641085011,5610120.677206709,13646582.727406595,162650.86308891326,fatigue
12.076923076923077,10.153846153846153,132.48848330646405,258.37214938258785,6250351.816394971,15758274.486881936,185171.9006220892,fatigue
12.076923076923077,10.384615384615385,128.2582457272169,250.33189126187503,6954789.288702525,18154141.299484767,210489.5308279295,fatigue
