E_AC_ksi,E_BASE_ksi,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
158.5471577381239,12.663801734674035,668.7275245768086,903.8347465155782,80924.98514463472,57905.797897502875,1348.9144271983869,rutting
171.20569396005033,12.663801734674035,640.2312915924792,879.8316313699419,87464.89805789056,65321.4429489899,1451.907780354225,rutting
184.87489818490914,12.663801734674035,612.425379486836,855.956815981458,94799.7702906982,73883.20022324688,1568.0519795701873,rutting
199.63546298206583,12.663801734674035,585.3417174882163,832.2360229811302,103030.42441786091,83789.38940031224,1699.039725926512,rutting
215.57452348237172,12.663801734674035,559.006740981155,808.6944078710846,112271.97521120287,95275.60465003754,1846.8167996267866,rutting
232.78617175760255,12.663801734674035,533.4416718177241,785.3564390267438,122655.9217376764,108622.18842886148,2013.6205687405995,rutting
251.37201226837567,12.663801734674035,508.66282210577236,762.2457884413805,134332.56217443268,124163.28278267906,2202.024800288629,rutting
271.4417616594907,12.663801734674035,484.6819145898731,739.3852338698935,147473.7820857039,142297.80474050852,2414.9918171857394,rutting
293.11389644342387,12.663801734674035,461.50641343788465,716.7965727450448,162276.27502233585,163502.77082082146,2655.933222911353,fatigue
316.51635239540985,12.663801734674035,439.13985995378425,694.500547961257,178965.2636966783,188349.49222331878,2928.780624112536,fatigue
341.78727978880517,12.663801734674035,417.582208434909,672.5167853527628,197798.80084558384,217523.28119053427,3238.068024596811,fatigue
369.07585892906616,12.663801734674035,396.83015806255327,650.8637424395412,219072.7414435012,251847.45556141232,3589.027848068481,fatigue
398.54318080063774,12.663801734674035,376.8774773476427,629.5586677828644,243126.49242073565,292312.60924351175,3987.7028781682616,fatigue
430.36319802541544,12.663801734674035,357.71531824057905,608.6175700902085,270349.6627747452,340112.339346548,4441.076790688318,fatigue
464.7237517465168,12.663801734674035,339.3325175528652,588.055196045862,301189.7562807784,396686.89621831954,4957.226403416828,fatigue
501.8276804993071,12.663801734674035,321.7158838272053,567.8850157282949,336161.0713211294,463776.5633470352,5545.499294775639,fatigue
541.8940176155999,12.663801734674035,304.85046823437665,548.1192144173712,375854.9981472696,543486.996063243,6216.721056203818,fatigue
585.1592842296022,12.663801734674035,288.7198184727681,528.7686896016359,420951.9337532745,638369.2714115889,6983.437160691855,fatigue
631.8788855185242,12.663801734674035,273.30621500439355,509.8430520729851,472235.0691857904,751518.0520931863,7860.195269883143,fatigue
682.32861842019,12.663801734674035,258.5908892839145,491.3506301442191,530606.3444181,886692.0776041346,8863.874787802859,fatigue
